Provincia di destinazione;Regione geografica di residenza;Paese di residenza;Esercizi alberghieri - Arrivi;Esercizi alberghieri - Presenze;Esercizi complementari - Arrivi;Esercizi complementari - Presenze;Totale esercici ricettivi - Arrivi;Totale esercici ricettivi - Presenze
Viterbo;Unione Europea;  Italia;148980;352065;69730;540058;218710;892123
Viterbo;Unione Europea;  Austria;1389;2943;1077;5261;2466;8204
Viterbo;Unione Europea;  Belgio;1235;2615;910;4483;2145;7098
Viterbo;Unione Europea;  Danimarca;476;838;400;1435;876;2273
Viterbo;Unione Europea;  Finlandia;309;659;86;253;395;912
Viterbo;Unione Europea;  Francia;3229;6251;1626;5824;4855;12075
Viterbo;Unione Europea;  Germania;4678;10783;8647;67695;13325;78478
Viterbo;Unione Europea;  Grecia;117;228;30;51;147;279
Viterbo;Unione Europea;  Irlanda;220;406;105;263;325;669
Viterbo;Unione Europea;  Lussemburgo;52;113;33;92;85;205
Viterbo;Unione Europea;  Paesi Bassi;2172;4808;3051;19706;5223;24514
Viterbo;Unione Europea;  Portogallo;154;204;37;87;191;291
Viterbo;Unione Europea;  Regno unito;3298;8336;943;3434;4241;11770
Viterbo;Unione Europea;  Spagna;1344;2746;352;820;1696;3566
Viterbo;Unione Europea;  Svezia;729;1686;373;2259;1102;3945
Viterbo;Unione Europea;  Bulgaria;418;916;19;50;437;966
Viterbo;Unione Europea;  Ceca, Repubblica;277;494;730;4754;1007;5248
Viterbo;Unione Europea;  Cipro;..;..;4;10;4;10
Viterbo;Unione Europea;  Croazia;71;81;9;16;80;97
Viterbo;Unione Europea;  Estonia;35;63;7;19;42;82
Viterbo;Unione Europea;  Lettonia;17;19;12;45;29;64
Viterbo;Unione Europea;  Lituania;104;199;19;42;123;241
Viterbo;Unione Europea;  Malta;50;73;29;49;79;122
Viterbo;Unione Europea;  Polonia;1078;2400;421;1922;1499;4322
Viterbo;Unione Europea;  Romania;618;1295;141;412;759;1707
Viterbo;Unione Europea;  Slovacchia;74;127;45;276;119;403
Viterbo;Unione Europea;  Slovenia;215;360;50;288;265;648
Viterbo;Unione Europea;  Ungheria;162;316;44;78;206;394
Rieti;Unione Europea;  Italia;39421;84139;6742;12407;46163;96546
Rieti;Unione Europea;  Austria;588;1104;91;173;679;1277
Rieti;Unione Europea;  Belgio;316;529;113;229;429;758
Rieti;Unione Europea;  Danimarca;126;177;45;134;171;311
Rieti;Unione Europea;  Finlandia;31;54;24;77;55;131
Rieti;Unione Europea;  Francia;430;866;188;407;618;1273
Rieti;Unione Europea;  Germania;1026;1560;336;721;1362;2281
Rieti;Unione Europea;  Grecia;20;32;1;3;21;35
Rieti;Unione Europea;  Irlanda;92;131;21;58;113;189
Rieti;Unione Europea;  Lussemburgo;30;63;4;9;34;72
Rieti;Unione Europea;  Paesi Bassi;317;443;174;519;491;962
Rieti;Unione Europea;  Portogallo;42;48;3;3;45;51
Rieti;Unione Europea;  Regno unito;309;655;294;824;603;1479
Rieti;Unione Europea;  Spagna;205;319;28;47;233;366
Rieti;Unione Europea;  Svezia;151;349;24;77;175;426
Rieti;Unione Europea;  Bulgaria;26;40;7;9;33;49
Rieti;Unione Europea;  Ceca, Repubblica;24;35;6;19;30;54
Rieti;Unione Europea;  Croazia;18;18;..;..;18;18
Rieti;Unione Europea;  Estonia;9;15;..;..;9;15
Rieti;Unione Europea;  Lettonia;2;6;..;..;2;6
Rieti;Unione Europea;  Lituania;17;31;4;6;21;37
Rieti;Unione Europea;  Malta;13;17;2;4;15;21
Rieti;Unione Europea;  Polonia;130;200;22;63;152;263
Rieti;Unione Europea;  Romania;200;368;52;106;252;474
Rieti;Unione Europea;  Slovacchia;9;14;..;..;9;14
Rieti;Unione Europea;  Slovenia;17;21;..;..;17;21
Rieti;Unione Europea;  Ungheria;32;39;12;27;44;66
Roma;Unione Europea;  Italia;2755406;6816942;521865;2360190;3277271;9177132
Roma;Unione Europea;  Austria;49703;129707;10541;43692;60244;173399
Roma;Unione Europea;  Belgio;89830;222632;17934;76521;107764;299153
Roma;Unione Europea;  Danimarca;57813;147346;13499;57376;71312;204722
Roma;Unione Europea;  Finlandia;36267;92859;6553;23806;42820;116665
Roma;Unione Europea;  Francia;330825;808192;95235;395591;426060;1203783
Roma;Unione Europea;  Germania;323117;834189;101502;479282;424619;1313471
Roma;Unione Europea;  Grecia;54270;140039;8791;31327;63061;171366
Roma;Unione Europea;  Irlanda;49078;126386;16388;76206;65466;202592
Roma;Unione Europea;  Lussemburgo;4272;10565;734;2326;5006;12891
Roma;Unione Europea;  Paesi Bassi;102378;265822;37420;190446;139798;456268
Roma;Unione Europea;  Portogallo;50670;127877;7407;28481;58077;156358
Roma;Unione Europea;  Regno unito;436879;1094595;83188;313721;520067;1408316
Roma;Unione Europea;  Spagna;350894;903536;57060;316790;407954;1220326
Roma;Unione Europea;  Svezia;79834;193841;13977;49928;93811;243769
Roma;Unione Europea;  Bulgaria;22853;55994;3351;11703;26204;67697
Roma;Unione Europea;  Ceca, Repubblica;23355;57569;8040;26800;31395;84369
Roma;Unione Europea;  Cipro;5465;13682;945;3156;6410;16838
Roma;Unione Europea;  Croazia;15104;37366;3196;11582;18300;48948
Roma;Unione Europea;  Estonia;3772;9521;854;2711;4626;12232
Roma;Unione Europea;  Lettonia;3672;8747;928;2914;4600;11661
Roma;Unione Europea;  Lituania;11687;27243;2640;9219;14327;36462
Roma;Unione Europea;  Malta;11109;28801;2367;7999;13476;36800
Roma;Unione Europea;  Polonia;77018;189691;24200;102201;101218;291892
Roma;Unione Europea;  Romania;71190;179821;10911;42885;82101;222706
Roma;Unione Europea;  Slovacchia;9660;23384;5388;26596;15048;49980
Roma;Unione Europea;  Slovenia;11161;26612;2031;8772;13192;35384
Roma;Unione Europea;  Ungheria;29529;76230;7784;32858;37313;109088
Latina;Unione Europea;  Italia;308886;726391;171218;1052846;480104;1779237
Latina;Unione Europea;  Austria;1400;3113;265;1167;1665;4280
Latina;Unione Europea;  Belgio;1535;3700;285;1617;1820;5317
Latina;Unione Europea;  Danimarca;831;2090;290;1559;1121;3649
Latina;Unione Europea;  Finlandia;1165;2817;67;171;1232;2988
Latina;Unione Europea;  Francia;4984;11268;1074;4772;6058;16040
Latina;Unione Europea;  Germania;8041;20704;3491;15887;11532;36591
Latina;Unione Europea;  Grecia;182;364;12;24;194;388
Latina;Unione Europea;  Irlanda;1081;2583;120;755;1201;3338
Latina;Unione Europea;  Lussemburgo;121;263;29;139;150;402
Latina;Unione Europea;  Paesi Bassi;1695;3660;990;6876;2685;10536
Latina;Unione Europea;  Portogallo;236;457;45;163;281;620
Latina;Unione Europea;  Regno unito;5340;13900;605;2473;5945;16373
Latina;Unione Europea;  Spagna;1340;2931;185;424;1525;3355
Latina;Unione Europea;  Svezia;2293;5906;208;670;2501;6576
Latina;Unione Europea;  Bulgaria;193;370;14;25;207;395
Latina;Unione Europea;  Ceca, Repubblica;535;824;251;1438;786;2262
Latina;Unione Europea;  Cipro;30;70;1;3;31;73
Latina;Unione Europea;  Croazia;170;384;11;26;181;410
Latina;Unione Europea;  Estonia;179;423;40;146;219;569
Latina;Unione Europea;  Lettonia;334;713;23;37;357;750
Latina;Unione Europea;  Lituania;337;757;29;69;366;826
Latina;Unione Europea;  Malta;43;57;20;64;63;121
Latina;Unione Europea;  Polonia;2439;5554;976;6980;3415;12534
Latina;Unione Europea;  Romania;1709;3588;189;662;1898;4250
Latina;Unione Europea;  Slovacchia;140;245;2;6;142;251
Latina;Unione Europea;  Slovenia;205;379;28;35;233;414
Latina;Unione Europea;  Ungheria;868;2480;174;1220;1042;3700
Frosinone;Unione Europea;  Italia;260449;562864;15107;31712;275556;594576
Frosinone;Unione Europea;  Austria;1682;3689;92;136;1774;3825
Frosinone;Unione Europea;  Belgio;1549;2672;129;291;1678;2963
Frosinone;Unione Europea;  Danimarca;270;397;41;81;311;478
Frosinone;Unione Europea;  Finlandia;150;237;24;66;174;303
Frosinone;Unione Europea;  Francia;26875;50397;363;875;27238;51272
Frosinone;Unione Europea;  Germania;6294;14338;316;533;6610;14871
Frosinone;Unione Europea;  Grecia;165;338;5;5;170;343
Frosinone;Unione Europea;  Irlanda;1780;4145;38;65;1818;4210
Frosinone;Unione Europea;  Lussemburgo;56;105;2;6;58;111
Frosinone;Unione Europea;  Paesi Bassi;1455;2992;92;180;1547;3172
Frosinone;Unione Europea;  Portogallo;231;326;11;21;242;347
Frosinone;Unione Europea;  Regno unito;5161;14615;204;428;5365;15043
Frosinone;Unione Europea;  Spagna;1282;2603;57;100;1339;2703
Frosinone;Unione Europea;  Svezia;426;681;47;80;473;761
Frosinone;Unione Europea;  Bulgaria;151;233;10;14;161;247
Frosinone;Unione Europea;  Ceca, Repubblica;743;1485;31;63;774;1548
